configuration,run,case,item_id,fact_id,kind,label_or_component,provenance,expected,matched_value,recovered,vir_item,resolved_vision_model,vision_response_id,vision_request_id,description_latency_seconds,structuring_latency_seconds,source_raw_log,copied_raw_log,error
gpt4o_baseline,1,ABTR,abtr_v01,abtr_v01,coordinate,inlet,explicit_figure_and_source,"[0.0, 2.3]","{""label"": ""Inlet"", ""value"": [0.0, 2.3]}",True,1.0,gpt-4o-2024-08-06,chatcmpl-ECVxWEWYHd4OajrkYWsIbMAXvYhFM,req_34991ecd57304064bc99742c73bef2fd,4.5068248999996285,10.000987400000668,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_01\ABTR.json,raw/gpt4o_baseline/run_01_ABTR.json,
gpt4o_baseline,1,ABTR,abtr_v02,abtr_v02,coordinate,outlet,explicit_figure_and_source,"[0.0, -0.6]","{""label"": ""Outlet"", ""value"": [0.0, -0.6]}",True,1.0,gpt-4o-2024-08-06,chatcmpl-ECVxWEWYHd4OajrkYWsIbMAXvYhFM,req_34991ecd57304064bc99742c73bef2fd,4.5068248999996285,10.000987400000668,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_01\ABTR.json,raw/gpt4o_baseline/run_01_ABTR.json,
gpt4o_baseline,1,ABTR,abtr_v03,abtr_v03,coordinate,CH1 start,source_aligned_inference,"[-1.0, 0.8]",,False,0.0,gpt-4o-2024-08-06,chatcmpl-ECVxWEWYHd4OajrkYWsIbMAXvYhFM,req_34991ecd57304064bc99742c73bef2fd,4.5068248999996285,10.000987400000668,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_01\ABTR.json,raw/gpt4o_baseline/run_01_ABTR.json,
gpt4o_baseline,1,ABTR,abtr_v04,abtr_v04,coordinate,CH2 start,source_aligned_inference,"[-0.5, 0.8]",,False,0.0,gpt-4o-2024-08-06,chatcmpl-ECVxWEWYHd4OajrkYWsIbMAXvYhFM,req_34991ecd57304064bc99742c73bef2fd,4.5068248999996285,10.000987400000668,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_01\ABTR.json,raw/gpt4o_baseline/run_01_ABTR.json,
gpt4o_baseline,1,ABTR,abtr_v05,abtr_v05,coordinate,CH3 start,source_aligned_inference,"[0.0, 0.8]",,False,0.0,gpt-4o-2024-08-06,chatcmpl-ECVxWEWYHd4OajrkYWsIbMAXvYhFM,req_34991ecd57304064bc99742c73bef2fd,4.5068248999996285,10.000987400000668,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_01\ABTR.json,raw/gpt4o_baseline/run_01_ABTR.json,
gpt4o_baseline,1,ABTR,abtr_v06,abtr_v06,coordinate,CH4 start,source_aligned_inference,"[0.5, 0.8]",,False,0.0,gpt-4o-2024-08-06,chatcmpl-ECVxWEWYHd4OajrkYWsIbMAXvYhFM,req_34991ecd57304064bc99742c73bef2fd,4.5068248999996285,10.000987400000668,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_01\ABTR.json,raw/gpt4o_baseline/run_01_ABTR.json,
gpt4o_baseline,1,ABTR,abtr_v07,abtr_v07,coordinate,CH5 start,source_aligned_inference,"[1.0, 0.8]",,False,0.0,gpt-4o-2024-08-06,chatcmpl-ECVxWEWYHd4OajrkYWsIbMAXvYhFM,req_34991ecd57304064bc99742c73bef2fd,4.5068248999996285,10.000987400000668,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_01\ABTR.json,raw/gpt4o_baseline/run_01_ABTR.json,
gpt4o_baseline,1,ABTR,abtr_v08,abtr_v08,coordinate,Pipe2 end,source_aligned_inference,"[0.0, 0.8]",,False,0.0,gpt-4o-2024-08-06,chatcmpl-ECVxWEWYHd4OajrkYWsIbMAXvYhFM,req_34991ecd57304064bc99742c73bef2fd,4.5068248999996285,10.000987400000668,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_01\ABTR.json,raw/gpt4o_baseline/run_01_ABTR.json,
gpt4o_baseline,1,ABTR,abtr_v09,abtr_v09,length,Pipe1,source_and_deduced,0.6,0.6,True,1.0,gpt-4o-2024-08-06,chatcmpl-ECVxWEWYHd4OajrkYWsIbMAXvYhFM,req_34991ecd57304064bc99742c73bef2fd,4.5068248999996285,10.000987400000668,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_01\ABTR.json,raw/gpt4o_baseline/run_01_ABTR.json,
gpt4o_baseline,1,ABTR,abtr_v10,abtr_v10,length,Pipe2,source_and_deduced,1.5,2.3,False,0.0,gpt-4o-2024-08-06,chatcmpl-ECVxWEWYHd4OajrkYWsIbMAXvYhFM,req_34991ecd57304064bc99742c73bef2fd,4.5068248999996285,10.000987400000668,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_01\ABTR.json,raw/gpt4o_baseline/run_01_ABTR.json,
