run,case,item_id,answerable,response_answerable,question_type,required_claim_count,recovered_claim_count,recovered_claims,CoP,exact_answer,required_evidence_count,retrieved_required_evidence_count,retrieved_required_evidence,all_required_evidence_retrieved,citation_count,supported_citation_count,CiP,CiH,generated_claim_count,unsupported_claim_count,HR,abstention_correct,failure_class,EvidenceRecallAt2,target_citation_count,noise_citation_count,retrieved_target_chunks,retrieved_noise_chunks,retrieved_noise_fraction,requested_model,resolved_model,input_tokens,output_tokens,latency_seconds,raw_log,error
1,ABTR_INPUT_K2,abtr_param_01,True,True,direct,3,3,"{""fuel_k"": true, ""fuel_cp"": true, ""fuel_rho"": true}",1.0,True,1,1,"[{""source"": ""abtr_case.pdf"", ""page"": 1}]",True,1,1,1.0,1.0,3,0,0.0,,none,1.0,1,0,2,0,0.0,gpt-5.6-sol,gpt-5.6-sol,2261,403,4.330730500005302,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_01\ABTR_INPUT_K2\abtr_param_01.json,
1,ABTR_INPUT_K2,abtr_param_02,True,True,direct,2,0,"{""fuel_k"": false, ""fuel_cp"": false}",0.0,False,1,0,[],False,1,0,0.0,0.0,2,2,1.0,,retrieval_and_generation,0.0,1,0,1,1,0.5,gpt-5.6-sol,gpt-5.6-sol,2075,249,3.489068800001405,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_01\ABTR_INPUT_K2\abtr_param_02.json,
1,ABTR_INPUT_K2,abtr_param_03,True,True,direct,1,1,"{""clad_k"": true}",1.0,True,1,1,"[{""source"": ""abtr_case.pdf"", ""page"": 2}]",True,1,1,1.0,1.0,1,0,0.0,,none,1.0,1,0,1,1,0.5,gpt-5.6-sol,gpt-5.6-sol,2071,155,2.5302771999995457,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_01\ABTR_INPUT_K2\abtr_param_03.json,
1,ABTR_INPUT_K2,abtr_param_04,True,True,direct,5,5,"{""ch1_power"": true, ""ch2_power"": true, ""ch3_power"": true, ""ch4_power"": true, ""ch5_power"": true}",1.0,True,1,1,"[{""source"": ""abtr_case.pdf"", ""page"": 2}]",True,1,1,1.0,1.0,5,0,0.0,,none,1.0,1,0,2,0,0.0,gpt-5.6-sol,gpt-5.6-sol,2250,471,4.73406889999751,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_01\ABTR_INPUT_K2\abtr_param_04.json,
1,ABTR_INPUT_K2,abtr_param_05,True,True,direct,5,5,"{""ch1_4_fuel_width"": true, ""ch1_4_gap_width"": true, ""ch1_4_clad_width"": true, ""ch5_fuel_width"": true, ""ch5_clad_width"": true}",1.0,True,1,1,"[{""source"": ""abtr_case.pdf"", ""page"": 2}]",True,1,1,1.0,1.0,5,0,0.0,,none,1.0,1,0,2,0,0.0,gpt-5.6-sol,gpt-5.6-sol,2160,619,6.233994700000039,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_01\ABTR_INPUT_K2\abtr_param_05.json,
1,ABTR_INPUT_K2,abtr_param_06,True,True,direct,3,3,"{""channel_count"": true, ""ch1_4_nhs"": true, ""ch5_nhs"": true}",1.0,True,2,2,"[{""source"": ""abtr_case.pdf"", ""page"": 1}, {""source"": ""abtr_case.pdf"", ""page"": 2}]",True,1,1,1.0,1.0,6,0,0.0,,none,1.0,1,0,2,0,0.0,gpt-5.6-sol,gpt-5.6-sol,2257,629,5.795859999998356,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_01\ABTR_INPUT_K2\abtr_param_06.json,
1,ABTR_INPUT_K2,abtr_param_07,True,True,direct,1,1,"{""dt_min"": true}",1.0,True,1,1,"[{""source"": ""abtr_case.pdf"", ""page"": 3}]",True,1,1,1.0,1.0,1,0,0.0,,none,1.0,1,0,2,0,0.0,gpt-5.6-sol,gpt-5.6-sol,1229,169,2.450778200000059,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_01\ABTR_INPUT_K2\abtr_param_07.json,
1,ABTR_INPUT_K2,abtr_param_08,True,True,direct,3,3,"{""dt_early"": true, ""dt_mid"": true, ""dt_late"": true}",1.0,True,1,1,"[{""source"": ""abtr_case.pdf"", ""page"": 3}]",True,1,1,1.0,1.0,3,0,0.0,,none,1.0,1,0,2,0,0.0,gpt-5.6-sol,gpt-5.6-sol,1235,416,7.491875599997002,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_01\ABTR_INPUT_K2\abtr_param_08.json,
1,ABTR_INPUT_K2,abtr_param_09,True,True,direct,1,1,"{""axial_elements"": true}",1.0,True,1,1,"[{""source"": ""abtr_case.pdf"", ""page"": 2}]",True,1,1,1.0,1.0,5,0,0.0,,none,1.0,1,0,2,0,0.0,gpt-5.6-sol,gpt-5.6-sol,2148,583,5.505627499995171,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_01\ABTR_INPUT_K2\abtr_param_09.json,
1,ABTR_INPUT_K2,abtr_param_10,True,True,direct,1,1,"{""channel_length"": true}",1.0,True,1,1,"[{""source"": ""abtr_case.pdf"", ""page"": 2}]",True,1,1,1.0,1.0,5,0,0.0,,none,1.0,1,0,1,1,0.5,gpt-5.6-sol,gpt-5.6-sol,2408,535,4.993069000003743,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_01\ABTR_INPUT_K2\abtr_param_10.json,
1,ABTR_INPUT_K2,abtr_param_11,True,True,direct,2,2,"{""pipe1_area"": true, ""pipe2_area"": true}",1.0,True,1,1,"[{""source"": ""abtr_case.pdf"", ""page"": 2}]",True,1,1,1.0,1.0,2,0,0.0,,none,1.0,1,0,1,1,0.5,gpt-5.6-sol,gpt-5.6-sol,2405,260,2.9917742000034195,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_01\ABTR_INPUT_K2\abtr_param_11.json,
1,ABTR_INPUT_K2,abtr_param_12,True,True,direct,1,1,"{""channel_dh"": true}",1.0,True,1,1,"[{""source"": ""abtr_case.pdf"", ""page"": 2}]",True,1,1,1.0,1.0,5,0,0.0,,none,1.0,1,0,1,1,0.5,gpt-5.6-sol,gpt-5.6-sol,2409,575,5.269475799999782,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_01\ABTR_INPUT_K2\abtr_param_12.json,
1,ABTR_INPUT_K2,abtr_param_13,True,True,direct,2,2,"{""pipe1_length"": true, ""pipe2_length"": true}",1.0,True,1,1,"[{""source"": ""abtr_case.pdf"", ""page"": 2}]",True,1,1,1.0,1.0,2,0,0.0,,none,1.0,1,0,1,1,0.5,gpt-5.6-sol,gpt-5.6-sol,2405,248,3.426901499995438,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_01\ABTR_INPUT_K2\abtr_param_13.json,
1,ABTR_INPUT_K2,abtr_param_14,True,True,direct,5,5,"{""ch1_f"": true, ""ch2_f"": true, ""ch3_f"": true, ""ch4_f"": true, ""ch5_f"": true}",1.0,True,1,1,"[{""source"": ""abtr_case.pdf"", ""page"": 2}]",True,1,1,1.0,1.0,5,0,0.0,,none,1.0,1,0,1,1,0.5,gpt-5.6-sol,gpt-5.6-sol,2403,575,5.47015420000389,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_01\ABTR_INPUT_K2\abtr_param_14.json,
1,ABTR_INPUT_K2,abtr_param_15,True,True,direct,2,2,"{""branch1_k"": true, ""branch2_k"": true}",1.0,True,1,1,"[{""source"": ""abtr_case.pdf"", ""page"": 2}]",True,1,1,1.0,1.0,7,0,0.0,,none,1.0,1,0,1,1,0.5,gpt-5.6-sol,gpt-5.6-sol,2406,1046,9.110543000002508,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_01\ABTR_INPUT_K2\abtr_param_15.json,
2,ABTR_INPUT_K2,abtr_param_01,True,True,direct,3,3,"{""fuel_k"": true, ""fuel_cp"": true, ""fuel_rho"": true}",1.0,True,1,1,"[{""source"": ""abtr_case.pdf"", ""page"": 1}]",True,1,1,1.0,1.0,3,0,0.0,,none,1.0,1,0,2,0,0.0,gpt-5.6-sol,gpt-5.6-sol,2261,394,5.800822500001232,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_02\ABTR_INPUT_K2\abtr_param_01.json,
2,ABTR_INPUT_K2,abtr_param_02,True,True,direct,2,0,"{""fuel_k"": false, ""fuel_cp"": false}",0.0,False,1,0,[],False,1,0,0.0,0.0,2,2,1.0,,retrieval_and_generation,0.0,1,0,1,1,0.5,gpt-5.6-sol,gpt-5.6-sol,2075,253,4.799425099998189,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_02\ABTR_INPUT_K2\abtr_param_02.json,
2,ABTR_INPUT_K2,abtr_param_03,True,True,direct,1,1,"{""clad_k"": true}",1.0,True,1,1,"[{""source"": ""abtr_case.pdf"", ""page"": 2}]",True,1,1,1.0,1.0,1,0,0.0,,none,1.0,1,0,1,1,0.5,gpt-5.6-sol,gpt-5.6-sol,2071,155,3.984762899999623,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_02\ABTR_INPUT_K2\abtr_param_03.json,
